year,phoenix_pop,chicago_pop,redlands_pop
2000,3097600,6691670,1718600
2001,3203000,6713782,1762800
2002,3305100,6715529,1802800
2003,3401600,6708645,1850200
2004,3516100,6691823,1904200
2005,3664500,6665518,1950100
2006,3796000,6641516,1981000
2007,3893000,6651586,1999500
2008,3980200,6681639,2011400
2009,4040100,6722291,2021900
2010,3824600,6633756,2041200
2011,3869600,6660540,2062400
2012,3939800,6686474,2076600
2013,4006300,6705597,2086700
2014,4076700,6713233,2104000
2015,4154100,7108910,2120800
2016,4233400,6695106,2137100
2017,4307000,6676095,2157400
2018,3794928,6709095,1988261
2019,3794928,6709095,1988261
